S.No,Item Title,Price (INR),Location,OLX Link
1,"1 BHK in Kadavanthra, Cochin with covered car park, 1 km from metro","₹ 16,000","KADAVANTHRA, KOCHI",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-1200-sq-ft-in-kadavanthra-kochi-iid-1806555203
2,Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111","DABUA COLONY, FARIDABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
3,Car seat cover vsp,"₹ 4,200","SEETAMMA PETA, VISAKHAPATNAM",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294
4,Car cover Chevrolet Beat,"₹ 1,500","ASHTAVINAYAK NAGAR, MUMBAI",https://www.olx.in/item/other-household-items-c293-car-cover-chevrolet-beat-in-ashtavinayak-nagar-mumbai-iid-1806640241
5,75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100","JAWAHAR COLONY, FARIDABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
6,New wagon r or kuv car cover for sale,₹ 600,"DHARMAN NAGAR, SALEM",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-dharman-nagar-salem-iid-1806631077
7,"Car Cover Swift , Punch, i20, baleno","₹ 1,200","SHAKTI NAGAR, CHANDAUSI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-shakti-nagar-chandausi-iid-1806624590
8,Ecco car cover,"₹ 1,500","OMEX CITY, LUCKNOW",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1804468000
9,Newly constructed luxury independent house with covered car parking,"₹ 13,000","NACHIKURICHI, TIRUCHIRAPPALLI",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1700-sq-ft-in-nachikurichi-tiruchirappalli-iid-1800629924
10,2Bhk Luxury Low-rise Apartment Big Balcony With Covered Car Parking,"₹ 34,99,000","SECTOR 1 NOIDA EXTENSION, GREATER NOIDA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-975-sq-ft-in-sector-1-noida-extension-greater-noida-iid-1806610730
11,S Cross Car cover Dust and water Proof cover new one not used,"₹ 1,800","MEENAKSHI LAYOUT, BENGALURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-meenakshi-layout-bengaluru-iid-1806610099
12,Car steering cover,₹ 199,"KANDIVALI WEST, MUMBAI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kandivali-west-mumbai-iid-1805522859
13,Honda VX CVT car cover unused,"₹ 1,400","JP NAGAR PHASE 7, BENGALURU",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-jp-nagar-phase-7-bengaluru-iid-1802604043
14,"Spacious 1 bhk on 3rd floor with exclusive one covered car parking,","₹ 12,000","WAGHOLI, PUNE",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-600-sq-ft-in-wagholi-pune-iid-1806573942
15,2bhk for rent at Pammal with covered car parking.,"₹ 20,000","PAMMAL, CHENNAI",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-600-sq-ft-in-pammal-chennai-iid-1805177943
16,Alto car original cover,₹ 700,"BEEJOWA, RANI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-beejowa-rani-iid-1806563884
17,2BHK FLAT SALE Magnolia Fantasia with covered car parking No broaker,"₹ 26,90,000","BARASAT- BARRACKPORE ROAD, KOLKATA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-689-sq-ft-in-barasat-barrackpore-road-kolkata-iid-1791888291
18,Baleno Delta Car Rim & Rim Covers for Rs 6000,"₹ 6,000","GURUNANAK COLONY, BIDAR",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-gurunanak-colony-bidar-iid-1806555888
19,Ritz car cover,₹ 800,"ASHOK NAGAR, CHENNAI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ashok-nagar-chennai-iid-1803517422
20,Car Seat Covers del,"₹ 3,800","TEEN MURTI MARG AREA, DELHI",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-teen-murti-marg-area-delhi-iid-1804756254
21,107 Gaj home with covered car parking near by main market,"₹ 45,00,000","JAWAHAR COLONY, FARIDABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
22,"Honda Mobilio 2014, New tyres and seat covers","₹ 5,15,000","MOGAPPAIR EAST PANEER NAGAR, CHENNAI",https://www.olx.in/item/cars-c84-used-honda-mobilio-in-mogappair-east-paneer-nagar-chennai-iid-1797742139
23,Hyundai I20 Sportz Car Cover,"₹ 2,000","A CAMP, KURNOOL",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-a-camp-kurnool-iid-1806541974
24,"Full Furnished 3BHK flat for sale 5 years old, 1 covered car parking.","₹ 1,21,00,000","MOSHI, PUNE",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1550-sq-ft-in-moshi-pune-iid-1804002221
25,Car seat cover yel,"₹ 2,999","YELAHANKA, BENGALURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-yelahanka-bengaluru-iid-1806533215
26,Car seat cover Whi,"₹ 2,999","WHITEFIELD, BENGALURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-whitefield-bengaluru-iid-1806532650
27,Car seat cover ele,"₹ 2,999","ELECTRONIC CITY, BENGALURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-electronic-city-bengaluru-iid-1806530999
28,A 800 SQFT FURNISHED 1BHK FLAT COVERED CAR PARK AVAILABLE FOR RENT,"₹ 40,000","VIMAN NAGAR, PUNE",https://www.olx.in/item/for-rent-shops-offices-c1731-800-sq-ft-in-viman-nagar-pune-iid-1804964379
29,"3 Bhk flat for Rent Ground floor North facing Lift,Covered car parking","₹ 20,000","MADIPAKKAM SADASIVAM NAGAR, CHENNAI",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1100-sq-ft-in-madipakkam-sadasivam-nagar-chennai-iid-1804558506
30,2 BHK Flat For sale in Tower With Cover Car parking,"₹ 90,00,000","ULWE, NAVI MUMBAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-ulwe-navi-mumbai-iid-1805836017
31,New clutch plate new tyre new seat cover gadi full condition,"₹ 1,00,000","GOLLARAHATTI, BENGALURU",https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-gollarahatti-bengaluru-iid-1806517942
32,Cars Seat Cover,"₹ 5,500","UKKADAM, COIMBATORE",https://www.olx.in/item/spare-parts-c1585-cars-seat-cover-in-ukkadam-coimbatore-iid-1797391270
33,Luxurious 3Bhk Beutiful Flat Covered Car Parking in Noida Extension,"₹ 61,99,000","SECTOR 1 NOIDA EXTENSION, GREATER NOIDA",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1550-sq-ft-in-sector-1-noida-extension-greater-noida-iid-1806506703
34,Spacious 1.5 BHK flat with covered car parking for rent for family,"₹ 11,000","MARUNJI, PUNE",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-800-sq-ft-in-marunji-pune-iid-1806499022
35,Covered Car Parking for rent with individual gate.,"₹ 2,000","MUGALIVAKKAM VGN LAKSHMI NAGAR PHASE 2, CHENNAI",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-100-sq-ft-in-mugalivakkam-vgn-lakshmi-nagar-phase-2-chennai-iid-1806493078
36,Ambattur 2 Flats for Sale with Lift & Covered Car Parking,"₹ 31,00,000","AMBATTUR, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-702-sq-ft-in-ambattur-chennai-iid-1806283524
37,2bhk new flat rent family kiran soc katraj car parking covered,"₹ 20,000","KATRAJ, PUNE",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-880-sq-ft-in-katraj-pune-iid-1806484924
38,Car cover for Alto or K10,₹ 900,"ABBAS NAGAR, BHOPAL",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-abbas-nagar-bhopal-iid-1806484496
39,A 5000 SQFT COMMERCIAL OFFICE SPACE WITH COVERED CAR PARK FOR RENT,"₹ 3,00,000","VIMAN NAGAR, PUNE",https://www.olx.in/item/for-rent-shops-offices-c1731-5000-sq-ft-in-viman-nagar-pune-iid-1805302317
40,"2BHK, Covered Car Parking, Lift, Trustpuram","₹ 60,000","KODAMBAKKAM TRUSTPURAM, CHENNAI",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1079-sq-ft-in-kodambakkam-trustpuram-chennai-iid-1800487903
41,Car Body Cover Swift,₹ 900,"KESARAPALLI, VIJAYAWADA",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kesarapalli-vijayawada-iid-1806478400
42,Car universal 9d seat covers,"₹ 9,999","DWARKA SECTOR 98, DELHI",https://www.olx.in/item/spare-parts-c1585-car-universal-9d-seat-covers-in-dwarka-sector-98-delhi-iid-1800676552
43,2bhk attached first floor with covered car parking,"₹ 14,000","MANACAUD, THIRUVANANTHAPURAM",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1800-sq-ft-in-manacaud-thiruvananthapuram-iid-1805132334
44,A 1350 SQFT FURNISHED 2BHK FLAT WITH COVERED CAR PARK AVAIL FOR RENT,"₹ 75,000","VIMAN NAGAR, PUNE",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-viman-nagar-pune-iid-1805288003
45,Independent 1bhk house 24hrs water car parking covered garden,"₹ 5,500","AAMAR ESTATE, BHOPAL",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-2400-sq-ft-in-aamar-estate-bhopal-iid-1806468807
46,Ready to shift modern 2 bhk wit cover car parking. Gted society.,"₹ 38,91,000","GAUR CHOWK, GREATER NOIDA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1150-sq-ft-in-gaur-chowk-greater-noida-iid-1803430164
47,Large Size 3 bhk with cover Car parking at NIBM,"₹ 1,45,00,000","NIBM ROAD KONDHWA, PUNE",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-nibm-road-kondhwa-pune-iid-1746430836
48,All Maruthi Seat cover car stereo,"₹ 1,000","PANAMARAM, WAYANAD",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-panamaram-wayanad-iid-1796086514
49,"2BHK, Furnished, 2 Balconies, covered car parking","₹ 19,000","KATTUPAKKAM, CHENNAI",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-950-sq-ft-in-kattupakkam-chennai-iid-1806449643
50,2+Store Luxury Apartment Cctv Cameras Covered Car Parking In Gr Noida,"₹ 34,99,000","SECTOR 1 NOIDA EXTENSION, GREATER NOIDA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-975-sq-ft-in-sector-1-noida-extension-greater-noida-iid-1806441226
51,Beutiful 2Bhk Specious Flat Covered Car Parking In Noida Extension,"₹ 37,99,000","SECTOR 1 NOIDA EXTENSION, GREATER NOIDA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1050-sq-ft-in-sector-1-noida-extension-greater-noida-iid-1806440031
52,Front side 4 Bed with Covered Car Parking & Lift in Indirapuram,"₹ 1,25,50,000","INDIRAPURAM, GHAZIABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-builder-floors-2000-sq-ft-in-indirapuram-ghaziabad-iid-1782657383
53,3Bed with Covered Car Parking and Lift in Shakti Khand-4,"₹ 1,29,00,000","INDIRAPURAM SHAKTI KHAND 4, GHAZIABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1450-sq-ft-in-indirapuram-shakti-khand-4-ghaziabad-iid-1761656783
54,2Bed with Covered Car Parking in Vaishali sec-5,"₹ 65,00,000","VAISHALI SECTOR 5, GHAZIABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-builder-floors-1125-sq-ft-in-vaishali-sector-5-ghaziabad-iid-1754359223
55,3bhk MICL (1.85 All inclusive) With 1 Alloted covered car park,"₹ 1,90,00,000","DAHISAR EAST, MUMBAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1350-sq-ft-in-dahisar-east-mumbai-iid-1763316022
56,1st floor with lift covered car parking,"₹ 40,000","CHOOLAIMEDU SHAKTHI NAGAR, CHENNAI",https://www.olx.in/item/for-rent-shops-offices-c1731-1050-sq-ft-in-choolaimedu-shakthi-nagar-chennai-iid-1806428587
57,Car seat cover blr,"₹ 3,800","SEETAMMA PETA, VISAKHAPATNAM",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1802034343
58,Designer car seat cover vsp,"₹ 12,000","SEETAMMA PETA, VISAKHAPATNAM",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1803390808
59,All cars side mirror batman cover abs plastic piano black,"₹ 2,499","GANGTOK PRIVATE ESTATE, GANGTOK",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156
60,2bhk with separate covered car parking.,"₹ 32,00,000","KOPRE, PUNE",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-815-sq-ft-in-kopre-pune-iid-1803079489
61,All cars side mirror cover batman style abs plastic piano black,"₹ 2,500","ANNA NAGAR, MADURAI",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925
62,Old Seat cover 10pc of car likely a new condition any other 5 seater,₹ 600,"BASANT VIHAR, KOTA",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-basant-vihar-kota-iid-1804564380
63,Kattupakkam 2 BHK Flat for Sale with Covered Car Parking,"₹ 48,72,000","KATTUPAKKAM, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-890-sq-ft-in-kattupakkam-chennai-iid-1805433182
64,Thirumullaivoyal 2 BHK Flat for Sale with Covered Car Parking,"₹ 33,00,000","AYAPPAKKAM, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-762-sq-ft-in-ayappakkam-chennai-iid-1805433803
65,Korattur 2 BHK Flat for Sale with Covered Car Parking,"₹ 21,20,000","KORATTUR, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-530-sq-ft-in-korattur-chennai-iid-1805625415
66,Padur 2 BHK Flat for Sale with Covered Car Parking,"₹ 23,00,000","THORAIPAKKAM, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-618-sq-ft-in-thoraipakkam-chennai-iid-1805907712
67,Perumbakkam - Medavakkam 2 BHK Flat for Sale with Covered Car Parking,"₹ 45,00,000","PALLIKARANAI, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1084-sq-ft-in-pallikaranai-chennai-iid-1806184940
68,Madhavaram 2 BHK Flat Residential for Sale with Covered Car Parking,"₹ 32,00,000","AMBATTUR, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-780-sq-ft-in-ambattur-chennai-iid-1806188326
69,Mudichur 2 BHK Flat for Sale with Covered Car Parking,"₹ 20,00,000","VARADHARAJAPURAM, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-753-sq-ft-in-varadharajapuram-chennai-iid-1805614911
70,Second owner.Brown colour Leather finished Black seat covers.,"₹ 5,70,000","IYER BUNGALOW, MADURAI",https://www.olx.in/item/cars-c84-used-honda-wrv-in-iyer-bungalow-madurai-iid-1805843027
71,Car Cover for sale,"₹ 2,000","KENCHANAPURA CROSS, BENGALURU",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kenchanapura-cross-bengaluru-iid-1806385301
72,All cars side mirror cover abs plastic piano black batman style,"₹ 2,500","DWARKA SECTOR 98, DELHI",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-abs-plastic-piano-black-batman-style-in-dwarka-sector-98-delhi-iid-1800587295
73,"New House,Newly painted,semifurnished,Open terrace,covered car parking","₹ 7,000","CHAVADI, CUDDALORE",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-850-sq-ft-in-chavadi-cuddalore-iid-1806383303
74,Maruthi Suzuki 800 car protection cover,"₹ 1,200","HASANABAD, HYDERABAD",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-hasanabad-hyderabad-iid-1806373852
75,HYUNDAI GRAND I10 CAR COVER,₹ 800,"BOLLARAM, HYDERABAD",https://www.olx.in/item/other-household-items-c293-hyundai-grand-i10-car-cover-in-bollaram-hyderabad-iid-1806359609
76,75 Gaj newly constructed home with covered car parking,"₹ 33,00,001","NANGLA GURJAN, FARIDABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
77,For LEASE - Luxury Spacious… 1 BHK FLAT with Covered Car park and lift,"₹ 16,00,000","PERAMBUR, CHENNAI",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-600-sq-ft-in-perambur-chennai-iid-1802949217
78,2BHK DOUBLE TOILET balcony ground floor unused with cover car parking,"₹ 34,00,000","BEHALA, KOLKATA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-behala-kolkata-iid-1806355845
79,Car covers for Taigun Suv and i10,"₹ 1,500","JAYANAGAR, BENGALURU",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-jayanagar-bengaluru-iid-1806346825
80,Car seat cover koc,"₹ 13,000","THYKOODAM, KOCHI",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-thykoodam-kochi-iid-1806338066
81,2bhk with covered car parking for sale,"₹ 40,00,000","KAPILESHWARA NAGAR, TIRUPATI",https://www.olx.in/item/for-sale-shops-offices-c1733-930-sq-ft-in-kapileshwara-nagar-tirupati-iid-1806336445
82,4CENT 3BHK TWO COVERED CAR PARKING POSH VILLA FOR SALE IN ELAMAKKARA,"₹ 95,00,000","ELAMAKKARA, KOCHI",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1700-sq-ft-in-elamakkara-kochi-iid-1796642316
83,New seat covers maintained car no need to spend,"₹ 3,00,000","HAPUR ROAD INDUSTRIAL AREA, GHAZIABAD",https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-hapur-road-industrial-area-ghaziabad-iid-1806321616
84,2 BHK Flat for sale with lift and covered Car parking,"₹ 38,90,000","BEHALA CHOWRASTA, KOLKATA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-945-sq-ft-in-behala-chowrasta-kolkata-iid-1806062800
85,Swift Car Cover for sale,"₹ 1,100","PATRAN 176, PATRAN",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-patran-176-patran-iid-1806309597
86,3 BHK luxury independent floor with lift covered car parking,"₹ 44,99,999","GOVINDPURAM, GHAZIABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1350-sq-ft-in-govindpuram-ghaziabad-iid-1787565848
87,Recaro Santro Car Cover,₹ 800,"YOGI NAGAR TOWNSHIP, VADODARA",https://www.olx.in/item/spare-parts-c1587-recaro-santro-car-cover-in-yogi-nagar-township-vadodara-iid-1806305191
88,Dash cam & Nexon reserve camera car cover,"₹ 10,000","SATHAGALLI LAYOUT, MYSURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-sathagalli-layout-mysuru-iid-1803781287
89,"2bhk available for rent at Pammal, covered car parking rent","₹ 21,000","PAMMAL, CHENNAI",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-800-sq-ft-in-pammal-chennai-iid-1805178758
90,i want to sell my alto car vxi with Superior leather seat cover,"₹ 4,40,000","SYED ALI AKBAR, SRINAGAR",https://www.olx.in/item/cars-c84-used-maruti-suzuki-alto-800-in-syed-ali-akbar-srinagar-iid-1723108097
91,Stylish Car cover,"₹ 1,500","PALDI MEENA, JAIPUR",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-paldi-meena-jaipur-iid-1803022931
92,baleno orvm brand new and alto car cover original and gear nob baleno,"₹ 4,500","KHADARWALA, MUZAFFARNAGAR",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-khadarwala-muzaffarnagar-iid-1789277444
93,Car cover of kia seltos,"₹ 1,000","BHUMKAR CHOWK ROAD, PUNE",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-bhumkar-chowk-road-pune-iid-1806267899
94,Alto 800/K10 similar car body cover,₹ 500,"MAHADEB NAGAR JHARAPADA, BHUBANESHWAR",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-mahadeb-nagar-jharapada-bhubaneshwar-iid-1806261927
95,2bhk flat with 2 bathrooms 1balcony &2 covered car parking sale,"₹ 44,00,000","KUDGHAT, KOLKATA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-720-sq-ft-in-kudghat-kolkata-iid-1806259909
96,All types of car seats covers available,"₹ 2,600","SHIVPURI, LUDHIANA",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-shivpuri-ludhiana-iid-1806257352
97,wooden beads car seat cover,"₹ 1,000","PALLIKARANAI SELVAM NAGAR, CHENNAI",https://www.olx.in/item/sports-equipment-c100-wooden-beads-car-seat-cover-in-pallikaranai-selvam-nagar-chennai-iid-1806246451
98,2Bhk flats with covered car parking,"₹ 43,50,000","PERUNGALATTUR, TAMBARAM",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-834-sq-ft-in-perungalattur-tambaram-iid-1805393637
99,Maruti Swift Car Cover,₹ 849,"20 DUKAN, JAIPUR",https://www.olx.in/item/spare-parts-c1585-maruti-swift-car-cover-in-20-dukan-jaipur-iid-1806238897
100,Brembo caliper covers for all cars,₹ 700,"GACHIBOWLI, HYDERABAD",https://www.olx.in/item/spare-parts-c1585-brembo-caliper-covers-for-all-cars-in-gachibowli-hyderabad-iid-1800430070
101,Brembo brake caliper covers all colours available for all cars,₹ 699,"BEGUMPET, HYDERABAD",https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400
102,Car seat cover blr,"₹ 3,800","BVK IYENGAR ROAD BANGALORE, BENGALURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-bvk-iyengar-road-bangalore-bengaluru-iid-1805787530
103,Defander car stepni cover,"₹ 15,000","ASHOK VIHAR, DELHI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ashok-vihar-delhi-iid-1669544151
104,2BHK Apartment with covered car parking,"₹ 70,00,000","KANAKADASA LAYOUT, BENGALURU",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1025-sq-ft-in-kanakadasa-layout-bengaluru-iid-1804070364
105,"Car Hand Rest , 3 Way Speakers , Stearing Cover",₹ 300,"ALANDI ROAD, PUNE",https://www.olx.in/item/spare-parts-c1585-car-hand-rest-3-way-speakers-stearing-cover-in-alandi-road-pune-iid-1805994797
106,Spacious 2bhk Flat For Sale Fully furnished with Covered car parking,"₹ 37,90,000","SECTOR 116, MOHALI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1125-sq-ft-in-sector-116-mohali-iid-1804814625
107,"Lift , Covered Car parking , CCTV facility, Gated Community","₹ 54,16,500","THORAIPAKKAM, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-942-sq-ft-in-thoraipakkam-chennai-iid-1790552159
108,Fully furnished 2 BHK flat with covered car parking,"₹ 18,000","MADHUBAN COLONY, SOLAN",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1250-sq-ft-in-madhuban-colony-solan-iid-1806193543
109,Ecco car cover,"₹ 1,500","OMEX CITY, LUCKNOW",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1805895660
110,Tata altroz car cover,₹ 600,"GADAIPUR, DELHI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gadaipur-delhi-iid-1798464459
111,2bhk for sale with furniture & covered Car parking,"₹ 35,00,000","PISOLI, PUNE",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-873-sq-ft-in-pisoli-pune-iid-1805650393
112,Ciaz Car Accessories (Window Sun Shades+Branded Floor Matts+Body Cover,"₹ 2,500","LOHEGAON LAXMI NAGAR, PUNE",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-lohegaon-laxmi-nagar-pune-iid-1805855155
113,ERTIGA CAR -15 INCH STEEL WHEEL & WHEEL COVER,"₹ 18,500","ANDHERI EAST, MUMBAI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-andheri-east-mumbai-iid-1804239604
114,3BHK -1443 SQ FT with covered car parking,"₹ 45,00,000","KESHTOPUR, KOLKATA",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1443-sq-ft-in-keshtopur-kolkata-iid-1806154701
115,2024 brezza car wheel rims brand new and covers 4nos.,"₹ 4,500","KATTUPAKKAM KGT NAGAR, CHENNAI",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-kattupakkam-kgt-nagar-chennai-iid-1802718025
